user_id,suspicion_score,predicted_label,true_label
1,0.234257,genuine,genuine
2,0.254909,genuine,genuine
3,0.220293,genuine,genuine
4,0.306439,genuine,genuine
5,0.216044,genuine,genuine
6,0.202337,genuine,genuine
7,0.2225,genuine,genuine
8,0.255117,genuine,genuine
9,0.266347,genuine,genuine
10,0.22316,genuine,genuine
11,0.193793,genuine,genuine
12,0.290264,genuine,genuine
13,0.218201,genuine,genuine
14,0.249151,genuine,genuine
15,0.219679,genuine,genuine
16,0.267134,genuine,genuine
17,0.259572,genuine,genuine
18,0.218456,genuine,genuine
19,0.238021,genuine,genuine
20,0.214701,genuine,genuine
21,0.21562,genuine,genuine
22,0.242769,genuine,genuine
23,0.207204,genuine,genuine
24,0.256774,genuine,genuine
25,0.227439,genuine,genuine
26,0.381958,genuine,genuine
27,0.277727,genuine,genuine
28,0.227907,genuine,genuine
29,0.241644,genuine,genuine
30,0.219132,genuine,genuine
31,0.241753,genuine,genuine
32,0.24529,genuine,genuine
33,0.253983,genuine,genuine
34,0.298803,genuine,genuine
35,0.251855,genuine,genuine
36,0.297392,genuine,genuine
37,0.232889,genuine,genuine
38,0.241722,genuine,genuine
39,0.286121,genuine,genuine
40,0.223183,genuine,genuine
41,0.234792,genuine,genuine
42,0.217215,genuine,genuine
43,0.204724,genuine,genuine
44,0.215881,genuine,genuine
45,0.23746,genuine,genuine
46,0.293238,genuine,genuine
47,0.25879,genuine,genuine
48,0.24413,genuine,genuine
49,0.200626,genuine,genuine
50,0.291565,genuine,genuine
51,0.310902,genuine,genuine
52,0.258522,genuine,genuine
53,0.280941,genuine,genuine
54,0.231261,genuine,genuine
55,0.272721,genuine,genuine
56,0.211969,genuine,genuine
57,0.228453,genuine,genuine
58,0.234236,genuine,genuine
59,0.221724,genuine,genuine
60,0.220523,genuine,genuine
61,0.227263,genuine,genuine
62,0.203499,genuine,genuine
63,0.200404,genuine,genuine
64,0.210709,genuine,genuine
65,0.229275,genuine,genuine
66,0.234182,genuine,genuine
67,0.268286,genuine,genuine
68,0.243712,genuine,genuine
69,0.237627,genuine,genuine
70,0.201749,genuine,genuine
71,0.233779,genuine,genuine
72,0.224092,genuine,genuine
73,0.23601,genuine,genuine
74,0.242241,genuine,genuine
75,0.214777,genuine,genuine
76,0.225211,genuine,genuine
77,0.240154,genuine,genuine
78,0.240667,genuine,genuine
79,0.249959,genuine,genuine
80,0.287823,genuine,genuine
81,0.233803,genuine,genuine
82,0.2168,genuine,genuine
83,0.202832,genuine,genuine
84,0.229251,genuine,genuine
85,0.191134,genuine,genuine
86,0.277221,genuine,genuine
87,0.205153,genuine,genuine
88,0.262714,genuine,genuine
89,0.251903,genuine,genuine
90,0.239214,genuine,genuine
91,0.224589,genuine,genuine
92,0.193893,genuine,genuine
93,0.238452,genuine,genuine
94,0.206875,genuine,genuine
95,0.20926,genuine,genuine
96,0.267362,genuine,genuine
97,0.271102,genuine,genuine
98,0.278364,genuine,genuine
99,0.202656,genuine,genuine
100,0.211747,genuine,genuine
101,0.193684,genuine,genuine
102,0.175857,genuine,genuine
103,0.285395,genuine,genuine
104,0.199949,genuine,genuine
105,0.286718,genuine,genuine
106,0.223609,genuine,genuine
107,0.261403,genuine,genuine
108,0.251422,genuine,genuine
109,0.205678,genuine,genuine
110,0.181997,genuine,genuine
111,0.229864,genuine,genuine
112,0.251618,genuine,genuine
113,0.25764,genuine,genuine
114,0.228846,genuine,genuine
115,0.224041,genuine,genuine
116,0.200524,genuine,genuine
117,0.232962,genuine,genuine
118,0.2797,genuine,genuine
119,0.221299,genuine,genuine
120,0.25073,genuine,genuine
121,0.241872,genuine,genuine
